PK,SK,address,created_at,delivery_company,description,email,email_preferences,GSI1_PK,GSI1_SK,GSI2_PK,GSI2_SK,image_url,memo_for_shop,memo_for_users,messages,name,notification_emails,owner_id,password_hash,phone,pin,preferredDate,preferredTime,price,product_id,shop_id,status,tracking_number,ts_activated_at,ts_banned_at,ts_completed_at,ts_created_at,ts_expired_at,ts_linked_at,ts_shipped_at,ts_submitted_at,ts_updated_at,valid_days,zipCode
QR#8fdad682-0d48-40ce-810d-62e872343ae6,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,17864717,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#bbbe6ded-26a8-44bb-a68b-8092e567de11,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:54,,,,,,,,,,80298475,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:54,,,2026/2/9 12:34,2026/2/10 12:54,2026/2/9 12:54,,,2026/2/10 17:37,,
QR#0f13f82a-6f1d-4a21-a05d-7b4241a6e0da,METADATA,,,,,,,QR#COMPLETED,2026/2/25 18:27,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 18:35,,,,,,,,,,38516412,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,COMPLETED,,2026/2/25 18:35,,2026/2/25 18:43,2026/2/25 18:27,2026/8/24 18:35,2026/2/25 18:35,2026/2/25 18:42,2026/2/25 18:42,2026/2/25 18:43,,
QR#0f13f82a-6f1d-4a21-a05d-7b4241a6e0da,ORDER,a,,aaaaaaaaaa,,,,,,,,,,,,a,,,,,,,,,,,,11111111111111111,,,,,,,2026/2/25 18:42,2026/2/25 18:42,2026/2/25 18:42,,a
QR#a15b092c-5c80-486e-bea1-d43d22801963,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#a15b092c-5c80-486e-bea1-d43d22801963,ORDER,a,,,,yudai.ito.9124@gmail.com,,,,,,,,,,a,,,,a,,,,,,,,,,,,,,,,2026/2/9 11:28,2026/2/9 11:28,,a
QR#5aa05786-83c6-4a08-a7a3-a9cf596a1d10,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 10:13,,,,,,,,,,,,90086161,,,,,,UNASSIGNED,,,,,2026/2/24 10:13,,,,,2026/2/24 10:13,,
QR#960680e3-ba31-453e-b3ce-5fb24ee7f4ce,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,58955534,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
SHOP#f9e0d187-bd36-4579-9524-aeaa63ea830d,METADATA,,2026/2/1 23:09,,,,,,,USER#d7a49a88-20b1-709a-345f-550590357265,2026/2/1 23:09,,,,,2ndusershop,,d7a49a88-20b1-709a-345f-550590357265,,,,,,,,,,,,,,,,,,,,,
QR#307f3260-49aa-404e-9df2-00c7ffafe022,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,64458175,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#1e842847-1ae9-4552-aa6b-f46e29cffdf6,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,17023387,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
QR#282ad32f-5666-4039-a9a5-4ffc4a21bd71,ORDER,a,,,,a@a,,,,,,,,,,a,,,,a,,,,,,,,,,,,,,,,2026/2/5 8:29,,,a
QR#4f97f9da-c5f0-43b0-82b9-70b76c09acf2,METADATA,,,,,,,QR#USED,2026/2/25 9:45,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 17:32,,,,,,,,,,50320861,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,USED,,2026/2/25 17:32,,,2026/2/25 9:45,2026/8/24 17:32,2026/2/25 17:32,,2026/2/25 17:33,2026/2/25 17:33,,
QR#4f97f9da-c5f0-43b0-82b9-70b76c09acf2,ORDER,1,,,,,,,,,,,,,,name,,,,1,,,19-21éû,,,,,,,,,,,,,2026/2/25 17:33,2026/2/25 17:33,,1
QR#61122ffa-d7db-4f1b-8fb4-9ef48a39bada,ORDER,a,,a,,a@a,,,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,2026/2/5 8:40,2026/2/5 8:39,2026/2/5 8:40,,a
QR#92ada91f-a7cb-4b83-93f6-de9a44f010ff,METADATA,,,,,,,QR#ACTIVE,2026/2/9 14:00,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/20 11:10,,â™˙±êÊê∂,,,,,,,,34028243,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/20 11:10,,,2026/2/9 14:00,2026/8/19 11:10,2026/2/20 11:10,,,2026/2/20 11:10,,
